time,money,total_asset,market_value,profit,profit_ratio
2014-08-25,13628.439899999978,1056620.7799,1042992.3400000001,56620.779899999965,0.056620779899999966
2014-08-26,13628.439899999978,1054577.6999,1040949.2599999999,54577.69989999989,0.05457769989999989
2014-08-27,13628.439899999978,1059685.3999,1046056.9600000001,59685.39990000008,0.059685399900000075
2014-08-28,13628.439899999978,1050491.5399,1036863.1000000001,50491.539899999974,0.05049153989999997
2014-08-29,13628.439899999978,1060706.9398999999,1047078.5,60706.93989999988,0.06070693989999988
2014-09-01,13628.439899999978,1065814.6399,1052186.2000000002,65814.63990000007,0.06581463990000007
2014-09-02,13628.439899999978,1081137.7398999997,1067509.2999999998,81137.7398999997,0.0811377398999997
2014-09-03,13628.439899999978,1086245.4398999999,1072617.0,86245.43989999988,0.08624543989999989
2014-09-04,13628.439899999978,1091353.1399,1077724.7000000002,91353.13990000007,0.09135313990000007
2014-09-05,13628.439899999978,1093396.2199,1079767.78,93396.21989999991,0.09339621989999991
2014-09-09,13628.439899999978,1082159.2799,1068530.84,82159.27989999996,0.08215927989999997
2014-09-10,13628.439899999978,1068879.2599,1055250.82,68879.25989999995,0.06887925989999995
2014-09-11,13628.439899999978,1072965.4198999999,1059336.98,72965.41989999986,0.07296541989999986
2014-09-12,13628.439899999978,1072965.4198999999,1059336.98,72965.41989999986,0.07296541989999986
2014-09-15,13628.439899999978,1066836.1798999999,1053207.74,66836.17989999987,0.06683617989999988
2014-09-16,13628.439899999978,1060706.9398999999,1047078.5,60706.93989999988,0.06070693989999988
2014-09-17,13628.439899999978,1061728.4799,1048100.0399999999,61728.47989999992,0.06172847989999992
2014-09-18,13628.439899999978,1068879.2599,1055250.82,68879.25989999995,0.06887925989999995
2014-09-19,13628.439899999978,1073986.9599,1060358.52,73986.9598999999,0.0739869598999999
2014-09-22,13628.439899999978,1041297.6799000001,1027669.2400000001,41297.679900000105,0.041297679900000106
2014-09-23,13628.439899999978,1045383.8398999999,1031755.3999999999,45383.839899999904,0.0453838398999999
2014-09-24,13628.439899999978,1063771.5598999998,1050143.1199999999,63771.55989999976,0.06377155989999976
2014-09-25,13628.439899999978,1053556.1598999999,1039927.72,53556.15989999985,0.05355615989999985
2014-09-26,13628.439899999978,1047426.9198999999,1033798.4799999999,47426.91989999986,0.047426919899999864
2014-09-29,13628.439899999978,1047426.9198999999,1033798.4799999999,47426.91989999986,0.047426919899999864
2014-09-30,13628.439899999978,1049469.9999,1035841.56,49469.99989999994,0.049469999899999936
2014-10-08,13628.439899999978,1061728.4799,1048100.0399999999,61728.47989999992,0.06172847989999992
2014-10-09,13628.439899999978,1055599.2399,1041970.7999999999,55599.23989999993,0.05559923989999993
